ISI_duration,stim_number,thisN,thisTrialN,thisRepN,trial_loop.thisRepN,trial_loop.thisTrialN,trial_loop.thisN,trial_loop.thisIndex,thisRow.t,notes,instructions.started,text.started,end_task.started,instructions.stopped,end_task.keys,end_task.rt,end_task.duration,trial.started,text_2.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,0.022916999994777143,0.05025580001529306,0.05025580001529306,2.4300547000020742,space,2.3656754000112414,None,,,261664,001,2024-11-12_14h39.59.185,untitled,2024.2.3,58.65560188618227,2024-11-12 14h40.05.973846 -0500,
5.0,5,0,0,0,0,0,0,0,5.817845700017642,,,,,,,,,5.806300199998077,5.817845700017642,,,,,,,,
